street_name,total_complaints
"carl street",12
"maynard street",12
"lily street",12
"davis street",12
"council street",12
"lafayette place",12
"harvest street",12
"cunningham street",12
"griffith street",12
"quincy street",12
"balsam street",12
"allmeroth street",12
"mark street",12
"bricker street",12
"elsdon street",12
"darrow street",12
